eine untergeordnete Rolle spielen	218	C2	redewendung
Kritik üben	218	C2	redewendung
Pläne konsequent durchsetzen	218	C2	redewendung
sich an veränderte Bedingungen anpassen	220	C4	redewendung
sich an gängigen Qualitätsstandards orientieren	220	C4	redewendung
sich auf die nächste Ausschreibung konzentrieren	220	C4	redewendung
sich auf das eigene Aufgabenfeld beschränken	220	C4	redewendung
eine Kündigung geht nicht reibungslos vonstatten	223	C8	redewendung
sich langfristig an einen Vertrag binden	223	C8	redewendung
auf einem abgeschlossenen Vertrag sitzen bleiben	223	C8	redewendung
eine gesetzlich vorgeschriebene Mitwirkungspflicht verletzen	223	C8	redewendung
der Sicherheit halber	223	C8	redewendung
